acquisition_seed,strategy,round,dataset_type,image_name,sample_id,rank_in_selection,min_cosine_distance_to_labeled_before_selection,num_reference_labeled_before_selection
44,GTFreeDatasetBalancedConsistency,2,NEU-DET,scratches_225.jpg,a1c77ccb488348690c051d41fc11123adac3c2bfc433c7da409d8a1fe0f4c4fd,4,0.2915049195289612,20
44,GTFreeDatasetBalancedConsistency,2,GC10-DET,img_07_4405376700_00815.jpg,e9594c1ac2f08c1c06dea91c494efc69552aced1d213fa5145ff388d0ded06a9,5,0.1746882200241089,20
44,GTFreeDatasetBalancedConsistency,3,NEU-DET,pitted_surface_214.jpg,032433ae2b7256a0e41bbc632dd525683a4b0191b571d3680b30dab524f5c7db,1,0.28016167879104614,25
44,GTFreeDatasetBalancedConsistency,3,NEU-DET,crazing_225.jpg,089bfecb9772dc1d7d7a3a7bdb1b96f52a0742d2d54e8419cbd178247f198a5a,2,0.1969374418258667,25
44,GTFreeDatasetBalancedConsistency,3,GC10-DET,img_06_3436642500_00002.jpg,5ff33e9f33908e878836d877c303ac462a40d7c83a35837ae493e136bd5d2392,3,0.10330438613891602,25
44,GTFreeDatasetBalancedConsistency,3,NEU-DET,crazing_75.jpg,75e5bdb2288717e24c3b19ad246be5cb1a7fa0c42a39a33450d49060068466eb,4,0.15510070323944092,25
44,GTFreeDatasetBalancedConsistency,3,GC10-DET,img_07_4405965200_00151.jpg,994170777421dbd37b2d3dffe39679e66687454d230dead551efec30e8077b8a,5,0.2864111661911011,25
44,GTFreeDatasetBalancedConsistency,4,NEU-DET,crazing_49.jpg,02a64523295cef8b60b02151a416532c5dfaaa66f473adf89b1b25640df1bfa1,1,0.10205471515655518,30
44,GTFreeDatasetBalancedConsistency,4,GC10-DET,img_06_430103100_01150.jpg,4222407b70c72e45c4027aaefa65fed585ede1e429125a9d5c244c56e5f80d7f,2,0.25104260444641113,30
44,GTFreeDatasetBalancedConsistency,4,GC10-DET,img_04_4402117000_00004.jpg,55a602b5491e7d096e7dc4666a19ca720c9b67100aade5b38b786e2a660da824,3,0.3556133508682251,30
44,GTFreeDatasetBalancedConsistency,4,NEU-DET,pitted_surface_228.jpg,c3237de0b500293bb047ddc700a6a960e4ef3cb5d9f957755b902042b3af73c7,4,0.22377610206604004,30
44,GTFreeDatasetBalancedConsistency,4,GC10-DET,img_06_4406783500_00003.jpg,f68cd9708e95fe8ae996c2014b32f1d8fac82b6bd74ecf6a1095ecfcced35a5d,5,0.45300495624542236,30
